"lon","lat"
14.16583358,57.0283267375
13.4541669,54.4743289375
12.74250022,56.3898272875
14.87750026,55.1128283875
14.87750026,56.3898272875
14.87750026,57.0283267375
14.87750026,55.4320781125
9.18416682,56.3898272875
10.60750018,57.0283267375
9.18416682,57.6668261875
8.47250014,54.7935786625
8.47250014,55.1128283875
9.18416682,57.0283267375
9.8958335,57.0283267375
8.47250014,56.7090770125
11.31916686,56.0705775625
13.4541669,57.6668261875
12.74250022,55.4320781125
12.74250022,57.0283267375
14.87750026,57.6668261875
13.4541669,57.0283267375
7.76083346,56.0705775625
14.87750026,55.7513278375
14.16583358,57.6668261875
9.18416682,54.4743289375
10.60750018,57.6668261875
9.18416682,55.7513278375
13.4541669,56.7090770125
7.76083346,54.7935786625
9.18416682,57.3475764625
11.31916686,55.1128283875
11.31916686,57.0283267375
12.74250022,56.7090770125
8.47250014,57.6668261875
10.60750018,55.1128283875
10.60750018,56.7090770125
10.60750018,56.0705775625
8.47250014,55.7513278375
7.76083346,54.4743289375
12.74250022,57.3475764625
8.47250014,57.3475764625
7.76083346,57.6668261875
9.8958335,56.0705775625
10.60750018,57.3475764625
10.60750018,55.4320781125
12.74250022,56.0705775625
9.8958335,56.7090770125
12.03083354,56.0705775625
13.4541669,55.4320781125
10.60750018,55.7513278375
